加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
SG 553 | 深蓝电镀处理=SG 553 | Anodized Navy
SG 553（纪念品） | 浪花穿孔=Souvenir SG 553 | Waves Perforated
FN57 | 都市危机=Five-SeveN | Urban Hazard
USP 消音版 | 力矩=USP-S | Torque
XM1014（纪念品） | 碾骨机=Souvenir XM1014 | Bone Machine
P90 | 浅坟=P90 | Shallow Grave
熊刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Ursus Knife | Ultraviolet
MP9 | 橘皮涂装=MP9 | Orange Peel
法玛斯（StatTrak™） | 厄运之喵=StatTrak™ FAMAS | Doomkitty
刺刀（★） | 外表生锈=★ Bayonet | Rust Coat
G3SG1（StatTrak™） | 通风机=StatTrak™ G3SG1 | Ventilator
短剑（★ StatTrak™） | 表面淬火=★ StatTrak™ Stiletto Knife | Case Hardened
双持贝瑞塔（StatTrak™） | 黑豹=StatTrak™ Dual Berettas | Panther
熊刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Ursus Knife | Damascus Steel
格洛克 18 型 | 鼬鼠=Glock-18 | Weasel
爪子刀（★） | 噩梦之夜=★ Karambit | Night
截短霰弹枪（StatTrak™） | 祥和之翼=StatTrak™ Sawed-Off | Serenity
弯刀（★） | 森林 DDPAT=★ Falchion Knife | Forest DDPAT
爪子刀（★） | 传说=★ Karambit | Lore
锯齿爪刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Talon Knife | Rust Coat
USP 消音版（纪念品） | 宝蓝之色=Souvenir USP-S | Royal Blue
SCAR-20 | 翡翠色调=SCAR-20 | Emerald
P250 | 涟漪=P250 | Ripple
FN57 | 电镀青铜=Five-SeveN | Anodized Gunmetal
法玛斯（纪念品） | 摧枯拉朽=Souvenir FAMAS | Teardown
折刀（★ StatTrak™） | 屠夫=★ StatTrak™ Navaja Knife | Slaughter
MP5-SD（StatTrak™） | 磷光体=StatTrak™ MP5-SD | Phosphor
双持贝瑞塔 | 人工染色=Dual Berettas | Stained
M9 刺刀（★） | 渐变之色=★ M9 Bayonet | Fade
内格夫 | 无畏战神=Negev | Man-o'-war
PP-野牛 | 钻蓝半调=PP-Bizon | Cobalt Halftone
MAC-10 | 致命紫罗兰=MAC-10 | Ultraviolet
折刀（★） | 狩猎网格=★ Navaja Knife | Safari Mesh
AK-47 | 迷踪秘境=AK-47 | Uncharted
AUG | 代达罗斯之殇=AUG | Daedalus
MP7（StatTrak™） | 海之泡沫=StatTrak™ MP7 | Ocean Foam
SG 553（StatTrak™） | 豹灯蛾=StatTrak™ SG 553 | Tiger Moth
MP7（StatTrak™） | 速递=StatTrak™ MP7 | Special Delivery
折刀（★ StatTrak™） | 多普勒=★ StatTrak™ Navaja Knife | Doppler
新星（纪念品） | 胡桃木=Souvenir Nova | Walnut
Tec-9（纪念品） | 陆军网格=Souvenir Tec-9 | Army Mesh
鲍伊猎刀（★） | 枯焦之色=★ Bowie Knife | Scorched
P250 | 元素轮廓=P250 | Valence
AWP（StatTrak™） | 无畏战神=StatTrak™ AWP | Man-o'-war
新星（纪念品） | 沙丘之黄=Souvenir Nova | Sand Dune
加利尔 AR | 都市瓦砾=Galil AR | Urban Rubble
USP 消音版 | 闪回=USP-S | Flashback
短剑（★ StatTrak™） | 都市伪装=★ StatTrak™ Stiletto Knife | Urban Masked
蝴蝶刀（★） | 蓝钢=★ Butterfly Knife | Blue Steel
熊刀（★） | 深红之网=★ Ursus Knife | Crimson Web
弯刀（★ StatTrak™） | 深红之网=★ StatTrak™ Falchion Knife | Crimson Web
格洛克 18 型 | 皇家军团=Glock-18 | Royal Legion
P250 | 交换机=P250 | Exchanger
爪子刀（★） | 渐变之色=★ Karambit | Fade
AWP | 精英之作=AWP | Elite Build
新星（纪念品） | 捕食者=Souvenir Nova | Predator
弯刀（★） | 狩猎网格=★ Falchion Knife | Safari Mesh
内格夫 | 动力装载机=Negev | Power Loader
AUG | 辐射危机=AUG | Radiation Hazard
SG 553（纪念品） | 鳄鱼网格=Souvenir SG 553 | Gator Mesh
USP 消音版 | 猎户=USP-S | Orion
截短霰弹枪 | 镀铜=Sawed-Off | Copper
P250 | 二西莫夫=P250 | Asiimov
新星 | 幽灵迷彩=Nova | Ghost Camo
MAG-7 | 外表生锈=MAG-7 | Rust Coat
Tec-9 | 晶红石英=Tec-9 | Red Quartz
M4A1 消音型 | 神来之作=M4A1-S | Master Piece
P2000 | 致命红蝎=P2000 | Scorpion
SCAR-20（StatTrak™） | 血腥运动=StatTrak™ SCAR-20 | Bloodsport
XM1014 | 宁静=XM1014 | Tranquility
USP 消音版（StatTrak™） | 铅管=StatTrak™ USP-S | Lead Conduit
法玛斯 | 死亡之舞=FAMAS | Macabre
法玛斯 | 殖民侵略者=FAMAS | Colony
UMP-45 | 下士=UMP-45 | Corporal
P250 | 多面体=P250 | Facets
G3SG1（StatTrak™） | 公海=StatTrak™ G3SG1 | High Seas
P90（StatTrak™） | 异星世界=StatTrak™ P90 | Off World
鲍伊猎刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Bowie Knife | Case Hardened
运动手套（★） | 树篱迷宫=★ Sport Gloves | Hedge Maze
P2000 | 海洋=P2000 | Oceanic
CZ75 自动手枪（纪念品） | 氮化处理=Souvenir CZ75-Auto | Nitro
新星 | 火焰橙=Nova | Blaze Orange
